keyword,search_volume,competition_score,trend_direction,product_mapped,priority_score,pins_generated_this_batch,previous_batch_click_rate,status
coach websites,9900,0.95,rising,Premade Wix Website,261.1,5,0.54%,increase_volume
wix website template,40500,0.2,stable,Premade Wix Website,255.8,5,0.54%,increase_volume
instagram post template,40500,0.13,stable,Instagram Template Pack,203.1,5,0.75%,increase_volume
instagram templates,33100,0.22,stable,Instagram Template Pack,192.5,5,0.54%,increase_volume
online store template,1300,0.25,stable,Premade Wix Website,164.6,5,0.54%,increase_volume
wix templates,40500,0.2,stable,Premade Wix Website,158.9,5,,new
branding kit canva,1600,0.2,stable,Full Branding Kit,158.9,5,0.85%,increase_volume
branding identity,550000,0.08,stable,Full Branding Kit,155.8,5,0.30%,maintain
branding design,22200,0.21,stable,Full Branding Kit,134.9,5,0.33%,maintain
branding kit,3600,0.58,stable,Full Branding Kit,134.1,5,1.91%,increase_volume
canva business templates,480,0.12,rising,All Products,112.3,5,,new
branding for small businesses,720,0.35,stable,Audience — all products,105.5,5,,new
therapist website examples,390,0.31,stable,Audience — all products,102.7,5,,new
canva templates,22200,0.14,stable,Full Branding Kit,101.0,5,,new
social media templates canva,320,0.43,stable,Full Branding Kit,99.4,5,2.72%,increase_volume
branding kit templates,1600,0.87,stable,Full Branding Kit,98.5,5,0.85%,increase_volume
free canva templates,6600,0.07,stable,Full Branding Kit,96.8,5,,new
female branding,720,0.53,stable,Audience — all products,92.9,5,,new
marketing for therapists,590,0.62,stable,Audience — all products,84.9,5,,new
social media templates,2400,0.9,stable,Full Branding Kit,83.8,5,2.72%,increase_volume
social media templates design,1000,0.61,stable,Full Branding Kit,83.1,5,0.37%,maintain
instagram feed design,880,0.51,stable,Full Branding Kit,66.3,5,0.08%,flag_title
